1, UPenn, Annenberg Public Policy Center
2, UPenn, Avril 50
3, UPenn, Charles Addams Fine Arts Hall
4, UPenn, Chemistry Building 1958 Wing
5, UPenn, Chemistry Laboratories 1941 Wing
6, UPenn, Chemistry Laboratories 1973 Wing
7, UPenn, Claudia Cohen Hall
8, UPenn, College Hall
9, UPenn, Doc Magrogan's
10, UPenn, Fisher Bennett Hall
11, UPenn, Franklin Building
12, UPenn, Franklin Building Annex
13, UPenn, Golkin Hall
14, UPenn, Houston Hall
15, UPenn, Irvine Auditorium
16, UPenn, Jaffe Building
17, UPenn, Lauder College House
18, UPenn, Lerner Center
19, UPenn, Masala Kitchen
20, UPenn, McNeil Center
21, UPenn, Meyerson Hall
22, UPenn, Morgan
23, UPenn, New Deck Tavern
24, UPenn, Perelman Center for Political Science & Economics
25, UPenn, Roy and Diana Vagelos Laboratories of the IAST
26, UPenn, Silverman Hall
27, UPenn, Sweeten Alumni Building
28, UPenn, The ARCH
29, UPenn, University Square
30, UPenn, Van Pelt Library
31, UPenn, White Dog Cafe
32, UPenn, Williams Hall
33, UPenn, Wistar Institute
