1, UPenn, Annenberg Center for the Performing Arts
2, UPenn, Annenberg Public Policy Center
3, UPenn, Annenberg School of Communication
4, UPenn, Ashhurst
5, UPenn, Avril 50
6, UPenn, Baird
7, UPenn, Baldwin
8, UPenn, Birthday
9, UPenn, Bishop White
10, UPenn, Bodine
11, UPenn, Brooks
12, UPenn, Carruth
13, UPenn, Caster Building
14, UPenn, Charles Addams Fine Arts Hall
15, UPenn, Chemistry Building 1958 Wing
16, UPenn, Chemistry Laboratories 1941 Wing
17, UPenn, Chemistry Laboratories 1973 Wing
18, UPenn, Class of '28
19, UPenn, Class of 1920 Commons
20, UPenn, Claudia Cohen Hall
21, UPenn, Cleemann
22, UPenn, College Hall
23, UPenn, Colonial Penn Center
24, UPenn, Coxe
25, UPenn, Craig
26, UPenn, Doc Magrogan's
27, UPenn, E.F. Smith
28, UPenn, Fisher Bennett Hall
29, UPenn, Fitler
30, UPenn, Foerderer
31, UPenn, Franklin
32, UPenn, Franklin Building
33, UPenn, Franklin Building Annex
34, UPenn, Golkin Hall
35, UPenn, Graduate
36, UPenn, Graduate Student Center
37, UPenn, Hopkinson
38, UPenn, Houston Hall
39, UPenn, Irvine Auditorium
40, UPenn, Jaffe Building
41, UPenn, John M. Huntsman Hall
42, UPenn, Lauder College House
43, UPenn, Lauder Fischer Hall
44, UPenn, Leidy
45, UPenn, Lerner Center
46, UPenn, Lippincott
47, UPenn, Locust House
48, UPenn, Magee
49, UPenn, Masala Kitchen
50, UPenn, Mask & Wig
51, UPenn, McClelland
52, UPenn, McKean
53, UPenn, McNeil Building
54, UPenn, McNeil Center
55, UPenn, Memorial Tower
56, UPenn, Meyerson Hall
57, UPenn, Morgan
58, UPenn, Morris
59, UPenn, New Deck Tavern
60, UPenn, New York Alumni
61, UPenn, Perelman Center for Political Science & Economics
62, UPenn, Perry World House
63, UPenn, Pottruck Health and Fitness Center
64, UPenn, President's House
65, UPenn, Provost Tower
66, UPenn, Rodney
67, UPenn, Roy and Diana Vagelos Laboratories of the IAST
68, UPenn, Silverman Hall
69, UPenn, Smith
70, UPenn, Solomon Lab
71, UPenn, Spruce Garage
72, UPenn, Steinberg-Dietrich Hall
73, UPenn, Stiteler Hall
74, UPenn, Stouffer College House
75, UPenn, Stouffer Commons
76, UPenn, Sweeten Alumni Building
77, UPenn, The ARCH
78, UPenn, Thomas Penn
79, UPenn, University Meeting and Guesthouse
80, UPenn, University Square
81, UPenn, University of Pennsylvania Graduate School of Education
82, UPenn, Van Pelt Library
83, UPenn, Vance Hall
84, UPenn, White Dog Cafe
85, UPenn, Williams Hall
86, UPenn, Wilson
87, UPenn, Wistar Institute
